crop,year,season,state,area,production,fertilizer,pesticide,yield,N,P,K,pH,avg_temp_c,total_rainfall_mm,avg_humidity_percent
wheat,1997,rabi,Meghalaya,4287.0,6894,407993.79,1328.97,1.385,52,16,33,5.6,17.16,1954.46,77.31
bajra,1997,kharif,West Bengal,207.0,95,19700.19,64.17,0.426666667,85,40,45,6.2,25.85,1564.19,72.28
maize,1997,whole year,West Bengal,35469.0,130390,3375584.73,10995.39,2.658461538,85,40,45,6.2,25.85,1564.19,72.28
potato,1997,whole year,West Bengal,284015.0,5581553,27029707.55,88044.65,18.23722222,85,40,45,6.2,25.85,1564.19,72.28
rice,1997,autumn,West Bengal,423121.0,751970,40268425.57,131167.51,1.837222222,85,40,45,6.2,25.85,1564.19,72.28
rice,1997,summer,West Bengal,1206829.0,3569520,114853915.9,374116.99,2.843888889,85,40,45,6.2,25.85,1564.19,72.28
rice,1997,winter,West Bengal,4270328.0,8915100,406407115.8,1323801.68,1.985555556,85,40,45,6.2,25.85,1564.19,72.28
sugarcane,1997,whole year,West Bengal,25797.0,1818700,2455100.49,7997.07,67.83625,85,40,45,6.2,25.85,1564.19,72.28
wheat,1997,rabi,West Bengal,367374.0,810480,34962983.58,113885.94,1.886666667,85,40,45,6.2,25.85,1564.19,72.28
bajra,1998,kharif,Puducherry,149.0,324,14721.2,43.21,2.17,88,55,40,7.0,28.33,1124.51,75.47
rice,1998,kharif,Puducherry,4945.0,11518,488566.0,1434.05,2.46,88,55,40,7.0,28.33,1124.51,75.47
rice,1998,rabi,Puducherry,13961.0,30220,1379346.8,4048.69,2.555,88,55,40,7.0,28.33,1124.51,75.47
rice,1998,summer,Puducherry,5716.0,14863,564740.8,1657.64,2.55,88,55,40,7.0,28.33,1124.51,75.47
sugarcane,1998,kharif,Puducherry,2710.0,232369,267748.0,785.9,82.595,88,55,40,7.0,28.33,1124.51,75.47
maize,1998,kharif,Assam,19810.0,13965,1957228.0,5744.9,0.608695652,60,18,38,5.8,22.98,1701.15,73.03
potato,1998,whole year,Assam,76958.0,611077,7603450.4,22317.82,7.230434783,60,18,38,5.8,22.98,1701.15,73.03
rice,1998,autumn,Assam,594979.0,520605,58783925.2,172543.91,1.055652174,60,18,38,5.8,22.98,1701.15,73.03
rice,1998,summer,Assam,223913.0,446114,22122604.4,64934.77,1.685217391,60,18,38,5.8,22.98,1701.15,73.03
rice,1998,winter,Assam,1635230.0,2288114,161560724.0,474216.7,1.395652174,60,18,38,5.8,22.98,1701.15,73.03
sugarcane,1998,whole year,Assam,30571.0,1223578,3020414.8,8865.59,39.89304348,60,18,38,5.8,22.98,1701.15,73.03
wheat,1998,rabi,Assam,89591.0,90509,8851590.8,25981.39,0.999545455,60,18,38,5.8,22.98,1701.15,73.03
rice,1998,kharif,Goa,41000.0,104249,4050800.0,11890.0,2.54,65,25,45,6.2,27.35,2059.15,74.64
rice,1998,rabi,Goa,15439.0,46925,1525373.2,4477.31,3.04,65,25,45,6.2,27.35,2059.15,74.64
sugarcane,1998,whole year,Goa,1320.0,64000,130416.0,382.8,48.48,65,25,45,6.2,27.35,2059.15,74.64
bajra,1998,kharif,Karnataka,415816.0,282231,41082620.8,120586.64,0.601764706,72,42,25,6.9,23.73,1185.08,71.65
bajra,1998,rabi,Karnataka,451.0,536,44558.8,130.79,1.19,72,42,25,6.9,23.73,1185.08,71.65
bajra,1998,summer,Karnataka,846.0,498,83584.8,245.34,0.59,72,42,25,6.9,23.73,1185.08,71.65
maize,1998,kharif,Karnataka,450472.0,1542607,44506633.6,130636.88,3.366,72,42,25,6.9,23.73,1185.08,71.65
maize,1998,rabi,Karnataka,49922.0,101605,4932293.6,14477.38,1.97952381,72,42,25,6.9,23.73,1185.08,71.65
maize,1998,summer,Karnataka,11974.0,27080,1183031.2,3472.46,2.241904762,72,42,25,6.9,23.73,1185.08,71.65
potato,1998,kharif,Karnataka,28755.0,317052,2840994.0,8338.95,12.37333333,72,42,25,6.9,23.73,1185.08,71.65
potato,1998,rabi,Karnataka,4173.0,82124,412292.4,1210.17,18.90714286,72,42,25,6.9,23.73,1185.08,71.65
potato,1998,summer,Karnataka,1137.0,19387,112335.6,329.73,17.6,72,42,25,6.9,23.73,1185.08,71.65
potato,1998,whole year,Karnataka,268.0,3910,26478.4,77.72,14.59,72,42,25,6.9,23.73,1185.08,71.65
rice,1998,kharif,Karnataka,1079193.0,2599170,106624268.4,312965.97,2.310740741,72,42,25,6.9,23.73,1185.08,71.65
rice,1998,rabi,Karnataka,51782.0,106072,5116061.6,15016.78,2.054285714,72,42,25,6.9,23.73,1185.08,71.65
rice,1998,summer,Karnataka,295830.0,951569,29228004.0,85790.7,2.99375,72,42,25,6.9,23.73,1185.08,71.65
wheat,1998,rabi,Karnataka,268981.0,219433,26575322.8,78004.49,0.848823529,72,42,25,6.9,23.73,1185.08,71.65
rice,1998,autumn,Kerala,120217.0,235849,11877439.6,34862.93,1.856923077,65,28,50,5.7,27.03,2177.34,80.95
rice,1998,summer,Kerala,57700.0,144872,5700760.0,16733.0,2.116153846,65,28,50,5.7,27.03,2177.34,80.95
rice,1998,winter,Kerala,174714.0,346022,17261743.2,50667.06,1.937142857,65,28,50,5.7,27.03,2177.34,80.95
sugarcane,1998,whole year,Kerala,6160.0,472160,608608.0,1786.4,64.83,65,28,50,5.7,27.03,2177.34,80.95
maize,1998,kharif,Meghalaya,17219.0,25272,1701237.2,4993.51,1.457142857,52,16,33,5.6,17.84,2370.96,79.73
potato,1998,whole year,Meghalaya,20753.0,201059,2050396.4,6018.37,7.738571429,52,16,33,5.6,17.84,2370.96,79.73
rice,1998,kharif,Meghalaya,105402.0,149742,10413717.6,30566.58,1.51,52,16,33,5.6,17.84,2370.96,79.73
sugarcane,1998,whole year,Meghalaya,83.0,225,8200.4,24.07,2.328,52,16,33,5.6,17.84,2370.96,79.73
wheat,1998,rabi,Meghalaya,4287.0,6998,423555.6,1243.23,1.605,52,16,33,5.6,17.84,2370.96,79.73
bajra,1998,kharif,West Bengal,175.0,84,17290.0,50.75,0.436666667,85,40,45,6.2,25.82,1537.71,75.28
maize,1998,kharif,West Bengal,38519.0,121161,3805677.2,11170.51,2.634,85,40,45,6.2,25.82,1537.71,75.28
potato,1998,whole year,West Bengal,318199.0,6689636,31438061.2,92277.71,18.95944444,85,40,45,6.2,25.82,1537.71,75.28
rice,1998,autumn,West Bengal,425002.0,740688,41990197.6,123250.58,1.751111111,85,40,45,6.2,25.82,1537.71,75.28
rice,1998,summer,West Bengal,1450473.0,4921984,143306732.4,420637.17,3.22,85,40,45,6.2,25.82,1537.71,75.28
rice,1998,winter,West Bengal,4028620.0,7653780,398027656.0,1168299.8,1.781666667,85,40,45,6.2,25.82,1537.71,75.28
sugarcane,1998,whole year,West Bengal,26949.0,2001900,2662561.2,7815.21,75.314375,85,40,45,6.2,25.82,1537.71,75.28
wheat,1998,rabi,West Bengal,367472.0,778090,36306233.6,106566.88,1.870555556,85,40,45,6.2,25.82,1537.71,75.28
maize,1999,kharif,Assam,19708.0,14056,2091610.04,5321.16,0.613913043,60,18,38,5.8,23.26,1622.42,71.99
potato,1999,whole year,Assam,76748.0,699744,8145265.24,20721.96,8.062608696,60,18,38,5.8,23.26,1622.42,71.99
rice,1999,autumn,Assam,557220.0,514156,59137758.6,150449.4,1.094782609,60,18,38,5.8,23.26,1622.42,71.99
rice,1999,summer,Assam,294654.0,653783,31271629.02,79556.58,1.990434783,60,18,38,5.8,23.26,1622.42,71.99
rice,1999,winter,Assam,1793994.0,2692709,190396583.2,484378.38,1.501304348,60,18,38,5.8,23.26,1622.42,71.99
sugarcane,1999,whole year,Assam,29107.0,1154615,3089125.91,7858.89,40.43478261,60,18,38,5.8,23.26,1622.42,71.99
wheat,1999,rabi,Assam,76310.0,97583,8098780.3,20603.7,1.256818182,60,18,38,5.8,23.26,1622.42,71.99
rice,1999,kharif,Goa,40500.0,96281,4298265.0,10935.0,2.38,65,25,45,6.2,27.09,1980.88,73.77
rice,1999,rabi,Goa,16213.0,43642,1720685.69,4377.51,2.69,65,25,45,6.2,27.09,1980.88,73.77
sugarcane,1999,whole year,Goa,1335.0,68440,141683.55,360.45,51.27,65,25,45,6.2,27.09,1980.88,73.77
rice,1999,autumn,Kerala,121525.0,252876,12897448.25,32811.75,2.081538462,65,28,50,5.7,26.23,1758.79,81.79
rice,1999,summer,Kerala,58021.0,144551,6157768.73,15665.67,2.292857143,65,28,50,5.7,26.23,1758.79,81.79
rice,1999,winter,Kerala,170228.0,373259,18066297.64,45961.56,2.097142857,65,28,50,5.7,26.23,1758.79,81.79
sugarcane,1999,whole year,Kerala,5780.0,578820,613431.4,1560.6,88.2225,65,28,50,5.7,26.23,1758.79,81.79
maize,1999,kharif,Meghalaya,16637.0,24051,1765684.81,4491.99,1.448571429,52,16,33,5.6,18.37,2074.56,76.13
potato,1999,whole year,Meghalaya,18339.0,143287,1946318.07,4951.53,6.858571429,52,16,33,5.6,18.37,2074.56,76.13
rice,1999,kharif,Meghalaya,102482.0,156887,10876414.66,27670.14,1.605714286,52,16,33,5.6,18.37,2074.56,76.13
rice,1999,rabi,Meghalaya,3929.0,13846,416984.77,1060.83,1.755714286,52,16,33,5.6,18.37,2074.56,76.13
sugarcane,1999,whole year,Meghalaya,80.0,223,8490.4,21.6,2.372,52,16,33,5.6,18.37,2074.56,76.13
bajra,1999,kharif,Puducherry,170.0,470,18042.1,45.9,2.76,88,55,40,7.0,27.74,923.63,75.11
rice,1999,kharif,Puducherry,25444.0,59433,2700371.72,6869.88,2.61,88,55,40,7.0,27.74,923.63,75.11
sugarcane,1999,whole year,Puducherry,2798.0,237610,296951.74,755.46,83.0,88,55,40,7.0,27.74,923.63,75.11
bajra,1999,kharif,West Bengal,146.0,96,15494.98,39.42,0.606666667,85,40,45,6.2,25.79,1737.63,72.95
maize,1999,kharif,West Bengal,35129.0,69682,3728240.77,9484.83,1.941538462,85,40,45,6.2,25.79,1737.63,72.95
potato,1999,summer,West Bengal,2478.0,33214,262990.14,669.06,13.4,85,40,45,6.2,25.79,1737.63,72.95
potato,1999,winter,West Bengal,313373.0,7449103,33258276.49,84610.71,20.56777778,85,40,45,6.2,25.79,1737.63,72.95
rice,1999,autumn,West Bengal,427155.0,827970,45333960.15,115331.85,1.868888889,85,40,45,6.2,25.79,1737.63,72.95
rice,1999,summer,West Bengal,1474338.0,4468400,156471491.9,398071.26,2.897222222,85,40,45,6.2,25.79,1737.63,72.95
rice,1999,winter,West Bengal,4248946.0,8463310,450940639.0,1147215.42,1.906666667,85,40,45,6.2,25.79,1737.63,72.95
sugarcane,1999,whole year,West Bengal,22883.0,1762806,2428572.79,6178.41,78.571875,85,40,45,6.2,25.79,1737.63,72.95
wheat,1999,rabi,West Bengal,364155.0,850778,38647770.15,98321.85,2.096666667,85,40,45,6.2,25.79,1737.63,72.95
bajra,2000,kharif,Andhra Pradesh,129475.0,135964,12710560.75,33663.5,1.001666667,78,45,22,6.8,27.74,1070.25,70.73
bajra,2000,rabi,Andhra Pradesh,14229.0,12524,1396860.93,3699.54,0.883125,78,45,22,6.8,27.74,1070.25,70.73
maize,2000,kharif,Andhra Pradesh,430544.0,1107165,42266504.48,111941.44,2.564545455,78,45,22,6.8,27.74,1070.25,70.73
maize,2000,rabi,Andhra Pradesh,97123.0,473602,9534564.91,25251.98,5.019545455,78,45,22,6.8,27.74,1070.25,70.73
potato,2000,whole year,Andhra Pradesh,2489.0,14618,244345.13,647.14,6.14375,78,45,22,6.8,27.74,1070.25,70.73
rice,2000,kharif,Andhra Pradesh,3003673.0,8233806,294870578.4,780954.98,2.7,78,45,22,6.8,27.74,1070.25,70.73
rice,2000,rabi,Andhra Pradesh,1239053.0,4224208,121637833.0,322153.78,2.939090909,78,45,22,6.8,27.74,1070.25,70.73
sugarcane,2000,whole year,Andhra Pradesh,237150.0,17690131,23281015.5,61659.0,73.8955,78,45,22,6.8,27.74,1070.25,70.73
wheat,2000,rabi,Andhra Pradesh,14261.0,8121,1400002.37,3707.86,0.581818182,78,45,22,6.8,27.74,1070.25,70.73
maize,2000,kharif,Assam,20241.0,14616,1987058.97,5262.66,0.605652174,60,18,38,5.8,22.37,1958.5,75.29
potato,2000,whole year,Assam,80504.0,668457,7903077.68,20931.04,7.459565217,60,18,38,5.8,22.37,1958.5,75.29
rice,2000,autumn,Assam,539665.0,557764,52978913.05,140312.9,1.197826087,60,18,38,5.8,22.37,1958.5,75.29
rice,2000,summer,Assam,329255.0,681027,32322963.35,85606.3,1.825217391,60,18,38,5.8,22.37,1958.5,75.29
rice,2000,winter,Assam,1777257.0,2759652,174473319.7,462086.82,1.581304348,60,18,38,5.8,22.37,1958.5,75.29
sugarcane,2000,whole year,Assam,26768.0,987696,2627814.56,6959.68,36.57217391,60,18,38,5.8,22.37,1958.5,75.29
wheat,2000,rabi,Assam,70301.0,85695,6901449.17,18278.26,1.175909091,60,18,38,5.8,22.37,1958.5,75.29
rice,2000,kharif,Goa,41000.0,96568,4024970.0,10660.0,2.36,65,25,45,6.2,26.95,1919.04,74.29
rice,2000,rabi,Goa,16207.0,45555,1591041.19,4213.82,2.81,65,25,45,6.2,26.95,1919.04,74.29
sugarcane,2000,whole year,Goa,1250.0,72750,122712.5,325.0,58.2,65,25,45,6.2,26.95,1919.04,74.29
bajra,2000,kharif,Karnataka,461048.0,340498,45261082.16,119872.48,0.662352941,72,42,25,6.9,23.21,1000.55,69.1
bajra,2000,rabi,Karnataka,160.0,129,15707.2,41.6,0.81,72,42,25,6.9,23.21,1000.55,69.1
bajra,2000,summer,Karnataka,913.0,998,89629.21,237.38,1.11,72,42,25,6.9,23.21,1000.55,69.1
maize,2000,kharif,Karnataka,599893.0,1961879,58891495.81,155972.18,3.1712,72,42,25,6.9,23.21,1000.55,69.1
maize,2000,rabi,Karnataka,57797.0,142674,5673931.49,15027.22,2.397368421,72,42,25,6.9,23.21,1000.55,69.1
maize,2000,summer,Karnataka,11165.0,31091,1096068.05,2902.9,2.774761905,72,42,25,6.9,23.21,1000.55,69.1
potato,2000,whole year,Karnataka,38298.0,452462,3759714.66,9957.48,11.70933333,72,42,25,6.9,23.21,1000.55,69.1
rice,2000,kharif,Karnataka,1120549.0,2792657,110004295.3,291342.74,2.357407407,72,42,25,6.9,23.21,1000.55,69.1
rice,2000,rabi,Karnataka,52005.0,106335,5105330.85,13521.3,2.064615385,72,42,25,6.9,23.21,1000.55,69.1
rice,2000,summer,Karnataka,310892.0,947744,30520267.64,80831.92,2.751304348,72,42,25,6.9,23.21,1000.55,69.1
sugarcane,2000,whole year,Karnataka,417141.0,42923496,40950731.97,108456.66,98.80038462,72,42,25,6.9,23.21,1000.55,69.1
wheat,2000,rabi,Karnataka,266310.0,249880,26143652.7,69240.6,0.93375,72,42,25,6.9,23.21,1000.55,69.1
rice,2000,autumn,Kerala,129752.0,260306,12737753.84,33735.52,1.938461538,65,28,50,5.7,26.7,1397.09,79.3
rice,2000,summer,Kerala,55258.0,154606,5424677.86,14367.08,2.23,65,28,50,5.7,26.7,1397.09,79.3
rice,2000,winter,Kerala,162445.0,336416,15947225.65,42235.7,2.042857143,65,28,50,5.7,26.7,1397.09,79.3
sugarcane,2000,whole year,Kerala,3367.0,275550,330538.39,875.42,90.19,65,28,50,5.7,26.7,1397.09,79.3
maize,2000,kharif,Meghalaya,16906.0,24250,1659662.02,4395.56,1.437142857,52,16,33,5.6,17.52,2652.89,79.14
potato,2000,whole year,Meghalaya,18318.0,144292,1798278.06,4762.68,6.954285714,52,16,33,5.6,17.52,2652.89,79.14
rice,2000,kharif,Meghalaya,102657.0,165907,10077837.69,26690.82,1.681428571,52,16,33,5.6,17.52,2652.89,79.14
rice,2000,rabi,Meghalaya,4003.0,13135,392974.51,1040.78,1.744285714,52,16,33,5.6,17.52,2652.89,79.14
sugarcane,2000,whole year,Meghalaya,86.0,237,8442.62,22.36,2.288,52,16,33,5.6,17.52,2652.89,79.14
wheat,2000,rabi,Meghalaya,4215.0,6892,413786.55,1095.9,1.395,52,16,33,5.6,17.52,2652.89,79.14
bajra,2000,kharif,Puducherry,186.0,513,18259.62,48.36,2.76,88,55,40,7.0,27.95,962.02,74.78
rice,2000,kharif,Puducherry,42779.0,103606,4199614.43,11122.54,2.605,88,55,40,7.0,27.95,962.02,74.78
sugarcane,2000,whole year,Puducherry,2464.0,200413,241890.88,640.64,81.17,88,55,40,7.0,27.95,962.02,74.78
bajra,2000,kharif,West Bengal,313.0,256,30727.21,81.38,0.8875,85,40,45,6.2,25.43,1422.94,74.38
maize,2000,kharif,West Bengal,35267.0,88264,3462161.39,9169.42,2.568571429,85,40,45,6.2,25.43,1422.94,74.38
potato,2000,whole year,West Bengal,299664.0,7673130,29418014.88,77912.64,22.39388889,85,40,45,6.2,25.43,1422.94,74.38
rice,2000,autumn,West Bengal,393944.0,683950,38673482.48,102425.44,1.648333333,85,40,45,6.2,25.43,1422.94,74.38
rice,2000,summer,West Bengal,1401841.0,4541328,137618731.0,364478.66,3.021111111,85,40,45,6.2,25.43,1422.94,74.38
rice,2000,winter,West Bengal,3639538.0,7202760,357293445.5,946279.88,1.876111111,85,40,45,6.2,25.43,1422.94,74.38
sugarcane,2000,whole year,West Bengal,21609.0,1465550,2121355.53,5618.34,67.08461538,85,40,45,6.2,25.43,1422.94,74.38
wheat,2000,rabi,West Bengal,426000.0,1057610,41820420.0,110760.0,2.330555556,85,40,45,6.2,25.43,1422.94,74.38
bajra,2001,kharif,Andhra Pradesh,81851.0,63589,8359442.63,21281.26,0.851764706,78,45,22,6.8,28.08,910.13,68.69
bajra,2001,rabi,Andhra Pradesh,9684.0,7442,989026.92,2517.84,0.795,78,45,22,6.8,28.08,910.13,68.69
maize,2001,kharif,Andhra Pradesh,337533.0,986011,34472245.29,87758.58,2.801818182,78,45,22,6.8,28.08,910.13,68.69
maize,2001,rabi,Andhra Pradesh,90752.0,470744,9268501.76,23595.52,5.592857143,78,45,22,6.8,28.08,910.13,68.69
potato,2001,whole year,Andhra Pradesh,2348.0,14653,239801.24,610.48,5.85,78,45,22,6.8,28.08,910.13,68.69
rice,2001,kharif,Andhra Pradesh,2426073.0,6500545,247774835.5,630778.98,2.627272727,78,45,22,6.8,28.08,910.13,68.69
rice,2001,rabi,Andhra Pradesh,1398674.0,4889246,142846575.6,363655.24,3.025909091,78,45,22,6.8,28.08,910.13,68.69
sugarcane,2001,whole year,Andhra Pradesh,218298.0,18081889,22294774.74,56757.48,84.989,78,45,22,6.8,28.08,910.13,68.69
wheat,2001,rabi,Andhra Pradesh,13793.0,9486,1408679.09,3586.18,0.6275,78,45,22,6.8,28.08,910.13,68.69
maize,2001,kharif,Assam,19600.0,13940,2001748.0,5096.0,0.608695652,60,18,38,5.8,22.72,1808.2,74.66
potato,2001,whole year,Assam,80056.0,620571,8176119.28,20814.56,7.350869565,60,18,38,5.8,22.72,1808.2,74.66
rice,2001,autumn,Assam,495698.0,487719,50625636.74,128881.48,1.120434783,60,18,38,5.8,22.72,1808.2,74.66
rice,2001,summer,Assam,325987.0,653036,33293052.31,84756.62,1.806521739,60,18,38,5.8,22.72,1808.2,74.66
rice,2001,winter,Assam,1714736.0,2713493,175125987.7,445831.36,1.600434783,60,18,38,5.8,22.72,1808.2,74.66
sugarcane,2001,whole year,Assam,27166.0,1011398,2774463.58,7063.16,37.2173913,60,18,38,5.8,22.72,1808.2,74.66
wheat,2001,rabi,Assam,72245.0,85300,7378381.85,18783.7,1.185217391,60,18,38,5.8,22.72,1808.2,74.66
rice,2001,kharif,Goa,32746.0,79071,3344348.98,8513.96,2.41,65,25,45,6.2,27.24,1335.38,72.83
rice,2001,rabi,Goa,16637.0,47452,1699136.81,4325.62,2.85,65,25,45,6.2,27.24,1335.38,72.83
sugarcane,2001,whole year,Goa,1205.0,70565,123066.65,313.3,58.56,65,25,45,6.2,27.24,1335.38,72.83
bajra,2001,kharif,Karnataka,208213.0,111091,21264793.69,54135.38,0.510666667,72,42,25,6.9,23.37,919.93,69.6
bajra,2001,rabi,Karnataka,442.0,221,45141.46,114.92,0.5,72,42,25,6.9,23.37,919.93,69.6
bajra,2001,summer,Karnataka,850.0,929,86810.5,221.0,1.09,72,42,25,6.9,23.37,919.93,69.6
maize,2001,kharif,Karnataka,505574.0,1274858,51634272.62,131449.24,2.663333333,72,42,25,6.9,23.37,919.93,69.6
maize,2001,rabi,Karnataka,65189.0,152769,6657752.57,16949.14,2.279,72,42,25,6.9,23.37,919.93,69.6
maize,2001,summer,Karnataka,9272.0,23960,946949.36,2410.72,2.6265,72,42,25,6.9,23.37,919.93,69.6
potato,2001,whole year,Karnataka,39156.0,473407,3999002.28,10180.56,12.815,72,42,25,6.9,23.37,919.93,69.6
rice,2001,kharif,Karnataka,1087967.0,2393946,111114069.7,282871.42,2.154814815,72,42,25,6.9,23.37,919.93,69.6
rice,2001,rabi,Karnataka,53480.0,99699,5461912.4,13904.8,1.840714286,72,42,25,6.9,23.37,919.93,69.6
rice,2001,summer,Karnataka,276277.0,740400,28216170.01,71832.02,2.4368,72,42,25,6.9,23.37,919.93,69.6
sugarcane,2001,whole year,Karnataka,406950.0,33016618,41561803.5,105807.0,84.00269231,72,42,25,6.9,23.37,919.93,69.6
wheat,2001,rabi,Karnataka,260486.0,198822,26603435.18,67726.36,0.777333333,72,42,25,6.9,23.37,919.93,69.6
rice,2001,autumn,Kerala,116540.0,235838,11902230.2,30300.4,1.886923077,65,28,50,5.7,26.63,2171.67,81.61
rice,2001,summer,Kerala,43850.0,105032,4478400.5,11401.0,2.151428571,65,28,50,5.7,26.63,2171.67,81.61
rice,2001,winter,Kerala,161978.0,362634,16542813.14,42114.28,2.153571429,65,28,50,5.7,26.63,2171.67,81.61
sugarcane,2001,whole year,Kerala,3267.0,269780,333658.71,849.42,88.77583333,65,28,50,5.7,26.63,2171.67,81.61
maize,2001,kharif,Meghalaya,16866.0,25247,1722524.58,4385.16,1.471428571,52,16,33,5.6,17.85,2427.05,78.14
potato,2001,whole year,Meghalaya,18151.0,159032,1853761.63,4719.26,7.288571429,52,16,33,5.6,17.85,2427.05,78.14
rice,2001,kharif,Meghalaya,107761.0,188971,11005630.93,28017.86,1.751428571,52,16,33,5.6,17.85,2427.05,78.14
sugarcane,2001,whole year,Meghalaya,83.0,226,8476.79,21.58,2.278,52,16,33,5.6,17.85,2427.05,78.14
wheat,2001,rabi,Meghalaya,2753.0,4812,281163.89,715.78,1.455,52,16,33,5.6,17.85,2427.05,78.14
bajra,2001,kharif,Puducherry,162.0,345,16545.06,42.12,2.13,88,55,40,7.0,28.23,1021.13,74.02
rice,2001,kharif,Puducherry,26263.0,66868,2682240.19,6828.38,2.415,88,55,40,7.0,28.23,1021.13,74.02
sugarcane,2001,whole year,Puducherry,2117.0,197412,216209.21,550.42,91.64,88,55,40,7.0,28.23,1021.13,74.02
bajra,2001,kharif,West Bengal,425.0,322,43405.25,110.5,0.855,85,40,45,6.2,25.74,1600.02,73.31
maize,2001,kharif,West Bengal,33288.0,86409,3399703.44,8654.88,2.314285714,85,40,45,6.2,25.74,1600.02,73.31
potato,2001,whole year,West Bengal,299821.0,7822363,30620718.73,77953.46,21.95444444,85,40,45,6.2,25.74,1600.02,73.31
rice,2001,autumn,West Bengal,353048.0,731778,36056792.24,91792.48,2.094705882,85,40,45,6.2,25.74,1600.02,73.31
rice,2001,summer,West Bengal,1366273.0,4166145,139537461.5,355230.98,2.788823529,85,40,45,6.2,25.74,1600.02,73.31
rice,2001,winter,West Bengal,3783766.0,8917625,386436021.6,983779.16,2.235294118,85,40,45,6.2,25.74,1600.02,73.31
sugarcane,2001,whole year,West Bengal,19598.0,1513656,2001543.74,5095.48,79.67857143,85,40,45,6.2,25.74,1600.02,73.31
wheat,2001,rabi,West Bengal,434004.0,961533,44324828.52,112841.04,2.109444444,85,40,45,6.2,25.74,1600.02,73.31
bajra,2002,kharif,Andhra Pradesh,79711.0,53526,7546240.37,19927.75,0.706470588,78,45,22,6.8,28.54,768.22,66.52
bajra,2002,rabi,Andhra Pradesh,7268.0,3953,688061.56,1817.0,0.594285714,78,45,22,6.8,28.54,768.22,66.52
maize,2002,kharif,Andhra Pradesh,413659.0,912047,39161097.53,103414.75,1.491363636,78,45,22,6.8,28.54,768.22,66.52
maize,2002,rabi,Andhra Pradesh,111990.0,573695,10602093.3,27997.5,5.602272727,78,45,22,6.8,28.54,768.22,66.52
potato,2002,whole year,Andhra Pradesh,2672.0,18677,252958.24,668.0,6.946666667,78,45,22,6.8,28.54,768.22,66.52
rice,2002,kharif,Andhra Pradesh,2109301.0,5054013,199687525.7,527325.25,2.202727273,78,45,22,6.8,28.54,768.22,66.52
rice,2002,rabi,Andhra Pradesh,712766.0,2272773,67477557.22,178191.5,2.533636364,78,45,22,6.8,28.54,768.22,66.52
sugarcane,2002,whole year,Andhra Pradesh,232471.0,15387218,22008029.57,58117.75,69.35666667,78,45,22,6.8,28.54,768.22,66.52
